dbn,schoolname,numofsat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Label
12X478,THE CINEMA SCHOOL,s,s,s,s,0
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s,0
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,0
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,0
1TX682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,l41,1
12X684,WINGS ACADEMY,66,378,374,649,1
12X60,MONROE ACADEMY FOR BUSINESS LAW,31,375,387,376,1
12X692,MONROE ACADEMY FOR VISUAL ARTS   DESIGN,43,332,357,349,0
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,0
13K336,,9,439,374,418,1
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,0
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION  ARTS AND MEDIA,37,375,355,384,0
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE  TECHNOLOGY AND THE CREATIVE ARTS,92,399,417,395,0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,0
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,0
28Q470,ACORN COMMUNITY HIGH SCHOOL,72,,364,368,1
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,40A,408,403,1
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s,0
135K53,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,1
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,0
13K595,,89,438,443,431,1
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,0
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s,s,0
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,0
CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHITECTURE  AND TECHNOLOGY,13K674,20,441,499,413,1
14K071,JUAN MOREL CAMOS SECONDARY SCHOOL,102,365,361,359,1
14K322,FOUNDATIONS ACADEMY,s,s,s,s,0
14K404,ACADEMY FOR YOUNG WRITERS,68,3B7,357,381,1
14K449,BROOKLYN LATIN SCHOOL  THE,72,586,84,570,1
14K454,GREEN SCHOOL  AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,,386,396,1
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,0
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,0
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSINESS AND TECHNOLOGY,142,398,421,396,0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,0
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,0
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,0
14K586,LYONS COMMUNITY SCHOOL,31,380,377,355,1
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,0
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,553,341,1
,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s,s,1
15K429,NEW EXPLORERS HIGH SCHOOL,52,361,367,383,1
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,0
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,,1
15K463,SECONDARY SCHOOL FOR JOURNALISn,,397,483,381,1
1K464,PARK SLOPE COLLEGIATE,72,379,416,380,1
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,0
15K520,PACIFIC HIGH SCHOOL,9,352,341,300,0
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s,0
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,42I,411,1
B5K667,SUNSET PARK HIGH SCHOOL,s,s,s,s,1
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,0
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,,358,1
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,0
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,,1
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,12,370,372,I51,1
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,s,0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION  A COLLEGE BOARD SCHOOL,59,396,374,369,0
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,0
17K467,ERASMUS YABC,s,s,s,s,0
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,0
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,0
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,0
02M545,THE MICHAEL J. PETRIDES SCHOOL,35,348,381,359,1
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,40,372,1
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,0
17K539,HIGH SCHOOL FOR SERVICE   LEARNING AT ERASMUS,61,362,375,368,0
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS,69,457,462,441,0
1K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,438,,369,1
17K546,HIGH SCHOOL FOR PUBLIC SERVICE  HEROES OF TOMORROW,79,418,441,414,0
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,0
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,48,,393,373,1
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,,1
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,0
17K600,CLARA BARTON HIGH SCHOOL,259,425,43,413,1
17K625,PAUL ROBESON HIGH SCHOOL,53,365,,355,1
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s,0
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,0
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,0
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,,377,1
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,0
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,0
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,0
18K589,ARTS   MEDIA PREPARATORY ACADEMY,48,361,360,,1
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,0
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,0
HIGH SCHOOL FOR MEDICAL PROFESSIONS,18K633,75,386,380,393,1
18K635,OLYMPUS ACADEMY,7,400,370,370,0
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,0
18K642,URBAN ACTION ACADEMY,40,376,385,374,0
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,0
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,0
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,0
17K600,THOMAS JEFFERSON YABC,s,s,s,s,1
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,0
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,0
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,0
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,0
19K583,MULTICULTURAL HIGH SCHOOL,29,279,32r,268,1
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,0
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,335,354,1
BROOKLYN LAB SCHOOL,19K639,57,365,385,363,1
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,0
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,0
02M520,THE SCHOOL FOR CLASSICS  AN ACADEMY OF THINKERS  WRITERS AND PERFORMERS,38,383,400,374,1
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,0
20K48,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,1
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,0
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,,486,375,1
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s,0
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,,477,316,1
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,0
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,21K344,54,402,427,408,1
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,0
21K410,475,ABRAHAM LINCOLN HIGH SCHOOL,396,437,393,1
21K412 21K411,ABRAHAM LINCOLN YABC LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s,0
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s,0
21K525,EDWARD R. MURROW HIGH SCHOOL,727,458,496,467,1
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,0
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,0
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,0
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,,376,1
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,0
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,0
22K405,MIDWOOD HIGH SCHOOL,824,478,476,519,1
22K425,JAMES MADISON HIGH SCHOOL,,,H75,439,1
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,,1
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,0
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,0
23K493,BROOKLYN COLLEGIATE  A COLLEGE BOARD SCHOOL,60,389,409,387,0
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,0
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,0
02M288,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,O71,311,1
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,0
23697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,1
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,0
05M469,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,1
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,0
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,u5,317,323,311,1
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,0
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,0
,s,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,435,s,s,1
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,0
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,0
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,0
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,,391,403,380,1
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY,80,443,447,440,0
24Q600,155,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,417,447,406,1
24Q610,AVIATION CAREER   TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,0
24Q744,VOYAGES PREPARATORY,77,s,s,s,1
25Q252,QUEENS SCHOOL OF INQUIRY  THE,58,455,498,443,0
FLUSHING INTERNATIONAL HIGH SCHOOL,25Q263,45,314,417,318,1
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,0
25Q285,WORLD JOURNALISM PREPARATORY  A COLLEGE BOARD SCHOOL,63,471,489,481,0
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,51,395,1
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,0
25Q467,FLUSHING YABC,9,378,373,344,0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,0
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,388,382,1
07X655,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,238,431,,441,1
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,3C7,1
26Q415,,888,423,545,489,1
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,459,1
26Q435,MARTIN VAN BUREN HIGH SCHOOL,33b,391,,384,1
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,0
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBERAL ARTS AND THE SCIENCES,175,425,434,420,0
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,688,373,1
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,0
27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  RESEARCH  AND TECHNOLOGY,44,391,401,364,0
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,,423,4t6,416,1
27Q309,ACADEMY OF MEDICAL TECHNOLOGY  A COLLEGE BOARD SCHOOL,36,367,379,348,0
27Q323,,89,499,537,496,1
27Q400,AUGUST MARTIN HIXH SCHOOL,101,377,360,371,1
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,39a,354,1
27Q475,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,382,404,,368,1
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,0
27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES  ENGINEERING AND ARCHITECTURE,194,429,,425,1
28Q284,YORK EARLY COLLEGE ACADEMY,888,s,s,s,1
28Q310,QUEENS COLLEGIATE  A COLLEGE BOARD SCHOOL,68,420,445,400,0
,HILLSIDE ARTS   LETTERS ACADEMY,s,s,s,s,1
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,,403,408,367,1
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,,425,1
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,0
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353,0
28Q505,HILLCREST HIGH SCHOOL,46,395,413,,1
28Q620,,422,452,478,,1
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,0
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s,s,0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,6A0,596,1
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,,406,384,1
28Q896,YOUNG WOMEN S LEADERSHIP SCHOOL  QUEENS,68,439,445,432,0
29Q248,QUEENS PREPARATORY ACADEMY,731,360,380,,1
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL  A COLLEGE BOARD SCHOOL,46,401,397,375,0
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,0
18K629,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,444,424,1
29Q283,PREPARATORY ACADEMY FOR WRITERS  A COLLEGE BOARD SCHOOL,43,370,,363,1
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,475,s,1
MATHEMATICS  SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL,29Q492,78,400,426,394,1
29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL,52,385,377,377,0
29Q496,BUSINESS  COMPUTER APPLICATIONS   ENTREPRENEURSHIP HIGH SCHOOL,49,379,414,359,0
29QT98,HUMANITIES   ARTS MAGNET HIGH SCHOOL,62,393,381,377,1
30Q286,YOUNG WOMEN S LEADERSHIP SCHOOL  ASTORIA,s,s,s,s,0
30Q301,ACADEMY FOR CAREERS IN TELEVYSION AND FILM,98,410,440,405,1
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,0
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,0
30Q51,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,4k6,,1
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,49,407,434,398,1
30Q555,NEWCOMERS HIGH SCHOOL,143,,475,329,1
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,0
30Q58,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,1
31R07,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,1
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,0
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,,488,466,1
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,0
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,0
31R450,CURTIS HIGH SCHOOL,375,401,435,429,1
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,0
31R460,SUSAN E. WAGNER HIGH SCHOOL,,455,474,459,1
31R470,CONOCRD HIGH SCHOOL,148,466,455,414,1
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,380,682,636,1
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,,405,375,370,1
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,,380,I66,352,1
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE BUSHWICK,88,384,409,361,0
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,0
32K552,ACADEMY OF URBAN PLANNING,67,342,,354,1
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,113,428,465,422,1
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,,350,1
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,0
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s,0
75M035,P.S. 035,s,s,s,s,0
75Q256,P.S. Q256,s,s,s,s,0
75Q811,P.S. Q811,32,429,444,433,0
75R025,SOUTH RICHMOND HIGH SCHOOL I.S. P.S. 25,s,s,s,s,1
,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s,1
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s,s,0
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s,0
79Q950,GED PLUS s CITYWIDE,8,496,400,426,0
79X490,PHOENIX ACADEMY,9,367,,360,1
