state_county,state,statefips,cntyfips,county,county_two,fips,fips_two,perc_viol,Label
CA,CA Stanislaus,6,99,Stanislaus ,Stanislaus ,6099,f06099,0.041407867494824,1
CA Sutter,CA,6,101,Sutter ,6101,Sutter ,f06101,0.0,1
CA Tehama,CA,6,103,Tehama ,Tehama ,6103,f06103,0.0,0
CA Trinity,CA,6,105,Trinity ,Trinity ,6105,f06105,0.0,0
CA Tulare,CA,6,107,Tulare ,Tulare ,6107,f06107,0.0882167611846251,0
CA Tuolumne,CA,109,6,Tuolumne ,Tuolumne ,6109,f06109,0.0,1
CA Ventura,CA,6,111,Ventura ,Lamar ,6111,f06111,0.131752305665349,1
CA Yolo,CA,6,113,olo ,Yolo ,6113,f06113,0.0,1
CA Ybua,CA,,115,Yuba ,Yuba ,6115,f06115,00.,1
CO Adams,CO,8,1,Adams ,Adams ,8001,f08001,0.0,0
CO Alamosa,CO,8,3,Alamosa ,Alamosa ,8003,f08003,0.0,0
CO Arapahoe,CO,8,5,Arapahoe ,Arapahoe ,,f08005,0.0,1
CO Archuleta,,8,,Archuleta ,Archuleta ,8007,V08007,0.0,1
CO Baca,CO,8,9,Baca ,Baca ,12133,f08f09,y.0,1
CO Bent,CO,8,11,Bent ,Bent ,8011,0.0,f08011,1
C Boulder,CO,8,13,Boulder ,Boulder ,8013,f08013,0.111482720178372,1
CO Broomfield,CO,8,14,Broomfield ,Broomfield ,8014,f0804,0.0,1
CO Chaffee,CO,8,15,Chaffee ,Chaffee ,8015,f08015,0.0701262272089762,0
CO Cheyenne,CO,8,17,Cheyenne ,Cheyenne ,8017,f08017,0.0,0
CO Clear Creek,CO,8,193,Clear Creek ,Clear Creek ,8019,f08019,0.0,1
CO Conejos,CO,8,21,Conejos ,Conejos ,8021,f08021,0.0,0
CO Costilla,,8,23,Costilla ,Costilla ,8023,f08023,0.0,1
CO Crowley,CO,8,25,Crowley ,Crowley ,8025,f08025,0.0,0
CO Custer,CO,8,27,Custer ,,8027,f08027,0.0,1
CO Delta,CO,8,29,Delta ,Delta ,8029,f08029,0.0,0
CO Denver,CO,8,31,Denver ,Denver ,8031,0.0,f08031,1
CO Dolores,CO,8,33,Dolores ,Dolores ,8014,f08033,0.0,1
CO Douglas,CO,8,35,Douglas ,Douglas ,8035,f08035,0.0,0
,8,CO,37,Eagle ,Eagle ,8037,f08037,0.0,1
,CO,8,41,El Paso ,El Paso ,8041,f08041,0.036231884057971,1
CO Elbert,CO,,3,Elbert ,Elbetr ,8039,f08j39,0.0,1
CO Fremont,CO,8,43,Fremont ,Fremont ,8043,f08043,0.144927536231884,0
CO Garfield,CO,8,45,Garfield ,Garfield ,8045,f08045,0.0,0
CO Gilpin,CO,8,47,Gilpin ,Gilpin ,8047,f08047,0.82815734989648,0
CO Grand,CO,8,49,Grand ,Grand ,8049,f08049,0.0,0
CO Gunnison,CO,8,51,Gunnison ,Gunnison ,8051,f08051,0.0,0
CO Hinsdale,CO,8,53,Hinsdale ,,8503,f08053,.0,1
CO Huerfano,CO,8,5,Huerfano ,Huerfano ,8055,,0.0,1
GA Crawford,CO,8,5H,Jackson ,Jackson ,8057,f08057,0.0,1
CO Jefferson,CO,8,59,Gilpin ,Dolores ,8059,f08059,0.123051681706317,1
CO Kiowa,CO,8,61,Kiowa ,Kiowa ,8061,f08061,0.0,0
CO Kit Carson,CO,8,63,Woodruff ,Kit Carson ,8063,f08063,0.0,1
CO La Plata,CO,8,67,La Plata ,La Plata ,8067,f08067,0.0,0
CO Lake,CO,65,8,Lake ,Lake ,8065,f08065,0.0,1
CO Larimer,CO,8,69,Larimer ,Larimer ,8069,f08069,0.0345065562456867,0
CO aLs Animas,CO,8,71,Las Animas ,Las Animas ,8071,f08071,0.0,1
CO Lincoln,CO,8,73,Lincoln ,Lincoln ,8073,f08073,0.0,0
CO Loan,CO,8,75,Logan ,Logan ,8075,f08075,0.0,1
CO Mesa,CO,8,77,Mesa ,Mesa ,8077,f08077,0.0749625187406297,1
CO Mineral,CO,8,79,Mineral ,Mineral ,8079,f08079,0.0,0
CO Moffat,CO,8,81,Moffat ,Moffat ,8081,f08081,0.0,0
CO Montezuma,CO,8,83,Montezuma ,Montezuma ,8083,f08083,0.0213128729752771,1
CO Montrose,CO,8,85,Montrose ,Montrose ,4021,f08085,0.0,1
CO Morgan,CO,8,87,Morgan ,Morgan ,6017,f08087,0.0,1
CO Otero,CO,8,89,Otero ,Otero ,8089,f08089,0.181159420289855,0
CO Ouray,CO,8,91,Ouray ,Ouray ,8091,f08091,0.0,0
AK Sitka City and Borough,CO,,93,Park ,Park ,8o93,f08093,0.181159420289855,1
CO Phillips,CO,,95,Phillips ,Phillips ,8095,f08095,0.0,1
CO Pitkin,CO,8,97,Pitkin ,Pitkin ,8097,f08097,0.0,0
CO Prowers,CO,8,99,,Prowers ,8099,f08099,0.0,1
CO Pueblo,CO,8,101,Pueblo ,Pueblo ,8101,0.501672240802676,f08101,1
CO Rio Blanco,CO,8,103,Rio Blanco ,Rio Blanco ,8103,f08103,0.0,0
CO Rio Grande,,8,150,Rio Grande ,Rio Grande ,8105,f08105,0.0,1
CO Routt,C,8,107,Routt ,Routt ,8107,f08107,0.0869565217391304,1
CO Saguache,,8,109,Saguache ,Saguache ,8109,f08109,0.0,1
CO San Juan,CO,8,111,San Juan ,San Juan ,8111,f08111,0.0,0
CO San Miguel,CO,8,113,San Miguel ,San Miguel ,8113,f08113,0.0,0
CO Sedgwick,CO,8,115,Sedgwick ,Sedgwick ,8115,f08115,0.0701262272089762,1
CO Summit,CO,8,117,Summit ,Summit ,8117,f08117,0.0,0
CO Teller,CO,8,119,Teler ,Teller ,8119,f08119,0.0,1
CO Washington,CO,8,121,Cochise ,Washington ,8121,f08121,0.0,1
AR Miller,CO,8,123,Weld ,Weld ,8123,f08123,0.213827512473272,1
CO Yuma,CO,8,53,Yuma ,Yuma ,8125,f08125,0.0,1
CT Fairfield,Cp,9,1,Fairfield ,Fairfield ,9001,f09001,0.0,1
CT Hartford,CT,9,3,Hartford ,Hartford ,9003,f09003,0.0,1
CT Litchfield,CT,9,5,Litchfield ,Litchfield ,9005,f09005,0.0,0
CT Middlesex,CT,9,7,Middlesex ,Middlesex ,9007,f09007,0.0,0
CT New Haven,CT,9,9,New Haven ,New Haven ,9009,f09009,0.0,0
CT New London,CT,9,11,New London ,New London ,9011,f08111,0.0,1
CT Tolland,CT,9,13,Tolland ,Tolland ,9013,f09013,0.0,0
CT Windham,CT,9,15,Windham ,Windham ,9015,f09015,0.0,0
DC District of Columbia,,11,1,District of Columbia,District of Columbia,11001,f11001,0.0,1
DEjKent,DE,10,1,Kent ,Kent ,10001,f10001,0.0,1
DE New Castle,DE,10,3,New Castle ,New Castle ,10003,f10003,0.0,0
DE Sussex,DE,10,5,Sussex ,Sussex ,f10005,10005,0.0,1
FL Alachua,FL,10,1,Alachua ,Alachua ,12001,f12001,0.0,1
FL Baker,FL,12,3,Baker ,Baker ,12003,f12003,0.0,0
FL Bay,FL,12,5,Benton ,Bay ,12005,f12005,0.0,1
FL Bradford,FL,12,7,Bradford ,Bradford ,12007,f12007,0.0,0
FL Brevard,FL,12,9,Brevard ,Brevard ,12009,f12009,0.0,0
FL Broward,FL,12,11,Broward ,Oconee ,12011,f12011,0.0,1
FL Calhoun,FL,,13,Prairie ,Calhoun ,12013,f12013,0.0,1
FL Charlotte,FL,12,15,Charlotte ,Charlotte ,12015,f12015,0.0,0
FL Citrus,FL,12,17,,Citrus ,12017,f12017,0.0,1
FL Clay,FL,12,19,Clay ,Clay ,12019,f12019,0.036231884057971,1
FL Collier,FL,12,21,Collier ,Collier ,12021,f12021,0.0,0
FL Columbia,FL,12,23,,Columbia ,12023,f12023,0.0,1
FL DeSoto,FL,12,27,DeSoto ,DeSoo ,f12027,12027,0c0,1
FL Dixie,FL,12,Dixie ,29,Dixi ,12029,f12029,0.0,1
FL Duval,FL,12,31,Duval ,Duval ,12031,f12031,,1
FL Escambia,FL,12,33,Escambia ,Escambia ,12033,f12033,0.0,0
FL Flagler,FL,12,35,Flagler ,Flagler ,12035,f12035,0.0,0
FL Franklin,FL,12,37,Franklin ,Franklin ,12037,f12037,0.0,0
FL Gadsden,FL,12,39,Gadsden ,Gadsden ,12039,f12039,0.0,0
FL Gilchrist,FL,12,41,Gilchrist ,Gilchrist ,12041,f12041,0.0,0
FL Glades,L,12,43,Glades ,Glades ,12043,f12043,0.0,1
FL Gulf,FL,12,w5,Gulf ,Fayette ,12045,f12045,0.0,1
FL Hamilton,FL,12,47,Hamilton ,Hamilton ,21047,f12047,0.0,1
FL Hardee,FL,12,,Hardee ,Hardee ,12049,f12049,0.0,1
,FL,12,51,Hendry ,Hendry ,12051,f06035,0.0,1
FL Hernando,FL,12,53,Hernando ,Hernando ,12053,f12053,0.0,0
FL Highlands,FL,12,5,Highlands ,Highlands ,12055,f12055,0.0,1
FL Hillsborough,FL,12,57,Hillsborough ,Hillsborough ,12057,f12057,0.0,0
FL Holmes,AS,12,59,Holmes ,Holmes ,12059,f12059,0.0,1
FL Indian River,FL,12,61,,Indian River ,12061,f12061,0.0,1
FL Jackson,FL,12,63,Jackson ,Jackson ,12063,f12063,0.0,0
FL Jefferson,FL,12,65,Jefferson ,Jefferson ,12065,,0.0,1
FL Lafayette,FL,12,67,Lafayette ,Lafayette ,12067,f12067,0.0,0
FL Lake,FL,12,69,Lake ,Lake ,12069,f12069,0.0,0
FL Lee,FL,1,71,Lee ,Lee ,12071,12071,0.0,1
FL Leon,FL,12,73,Leon ,Leon ,12073,f12073,0.0,0
FL Levy,FL,12,75,Levy ,Levy ,12075,f12075,0.0,0
FL Liberty,FL,12,77,Liberty ,Liberty ,12077,f12077,0.0,0
FL Madison,FL,12,79,Madison ,Madison ,12079,0.0,f12079,1
FL Manatee,FL,12,81,Manatee ,Manatee ,,0.0,f12081,1
FL Marion,FL,12,55,Marion ,Marion ,12083,f12083,0.0,1
FL Martin,FL,12,58,,Martin ,12085,f12085,0.0,1
FL Miami Dade,FL,12,,Miami Dade ,Cochise ,12086,f01133,0.0,1
FL Monroe,FL,12,87,Monroe ,Monroe ,12087,f12087,0.0,0
FL Nassau,FL,12,89,Nassau ,Nassau ,12089,f12089,0.0,0
FL Okaloosa,FL,12,91,Okaloosa ,Okaloosa ,12091,f12091,0.0,0
FL Okeechobee,FL,12,93,Okeechobee ,La Plata ,12093,f12093,0.0,1
FL Orange,FL,12,95,Orange ,Orange ,12095,f12095,0.0,0
FL Osceola,LF,12,97,Osceola ,Osceola ,12097,f12097,0.0,1
FL Palm Beach,FL,12,99,Palm Beach ,Palm Beach ,12099,f12099,0.0,0
AL Dallas,FL,12,101,Pasco ,Pasco ,12101,f12101,0.0,1
FL Pinellas,FL,12,103,Pinellas ,Pinellas ,12103,f12103,0.0,0
FL Polk,FL,12,105,Polk ,Polk ,12105,f12105,0.0,0
FL Putnam,FL,12,107,Putnam ,Putnam ,12107,f12107,0.0,0
FL Santa Rosa,FL,12,113,Santa Rosa ,Santa Rosa ,12113,f12113,0.0,0
FL Sarasota,FL,1,115,Sarasota ,Sarasota ,1215,f12115,0.0,1
FL Seminole,FL,12,117,Seminole ,Seminole ,13109,f12117,0.0,1
FL St. Johns,FL,12,109,St. Johns ,St. Johns ,12109,f12109,0.0,0
FL St. Lucie,FL,12,111,St. Lucie ,St. Lucie ,12111,f12111,0.0,0
FL Sumter,FL,12,119,Sumter ,Sumter ,1067,f12119,0.0,1
FL Suwannee,FL,12,121,Suwannee ,Suwannee ,12121,f12121,0.0,0
FL Taylor,FL,12,123,aTylor ,Taylor ,12123,f12123,0.0,1
FL Union,FL,12,125,Union ,Union ,12125,f12125,0.0,0
FL Volusia,FL,12,127,Volusia ,Holusia ,12127,f12127,0.03813882532418,1
FL Wakulla,FL,12,129,Wakulla ,Wakulla ,12129,f12192,0.0,1
FL Walton,FL,12,131,Walton ,Walton ,12131,f12131,.0,1
FL Washington,FL,12,133,Washington ,Washington ,12133,0.0,f12133,1
GA Appling,GP,1,13,Appling ,Appling ,13001,f13001,0.0,1
GA Atkinson,GA,13,,Atkinson ,Atkinson ,13003,f13003,0.0,1
GA Bacon,AG,13,5,Bacon ,Bacon ,13005,f13005,0.0,1
GA Baker,GA,13,7,Baker ,Baker ,13007,f13007,0.0,0
GA Baldwin,GA,13,9,Baldwin ,Baldwin ,13009,f13009,0.0,0
GA Banks,GA,13,11,Banks ,Banks ,13011,f13011,0.0,0
GA Barrow,GA,1,13,Barrow ,Barow ,13013,f13013,0.0,1
GA Bartow,GA,13,15,Bartow ,Bartw ,13015,f13015,0.0,1
GA Ben Hill,GA,13,17,San Benito ,Ben Hill ,13017,f13017,0.0,1
GA Berrien,GA,13,19,Berrien ,Berrien ,13019,f13019,0.0,0
GA Bibb,GA,13,21,ibb ,Bibb ,13127,f13021,0.0,1
GA Bleckley,GA,13,2O,Bleckley ,Bleckley ,13023,f13023,0.0,1
GA Brantley,GA,13,25,Brantley ,Brantley ,13025,f13025,0.0,0
GA Brooks,GA,,27,Brooks ,Brooks ,13027,f13027,0.0,1
AR Jefferson,GA,13,29,Bryan ,Bryan ,1329,f13029,0.0,1
GA Bulloch,GA,13,3g,Bulloch ,Bulloch ,13031,f13031,0.0,1
GA Burke,GA,13,Burke ,33,Burke ,2050,f13033,,1
GA Butts,GA,13,35,Butts ,Butts ,13035,f13035,0.0,0
GA Calhoun,GA,13,37,Calhoun ,Calhoun ,13037,f13037,0.0,0
GA Camden,GA,13,217,Camden ,Camden ,13039,f13039,0.0,1
GA Candler,GA,13,43,Candler ,Candler ,13043,f13043,X.0,1
GA Carroll,GA,13,45,,Carroll ,31045,f13045,0.0,1
CO Weld,GA,C3,47,Catoosa ,Catoosa ,13047,f13047,0.0,1
GA Charlton,CT,1,49,Charlton ,Charlton ,13049,f13049,0.0,1
GA Chatham,GA,13,51,Chatham ,Bartow ,13051,f13051,0.0,1
FL Dixie,GA,13,53,Chattahoochee ,Chattahoochee ,f13053,13053,0.0,1
GA Chatooga,GA,13,55,Chattooga ,Chattooga ,13055,f13055,0.0,1
GA Cherokee,GA,13,57,Cherokee ,Cherokee ,13057,f13057,0.0,0
GA Clarke,GA,13,59,Clarke ,Clarke ,13059,f13059,,1
GA Clay,GA,13,61,Clay ,Clay ,13061,f13061,0.0,0
GA Clayton,GA,13,63,Clayton ,Clayton ,13063,f13063,0.0,0
GA Clinch,GA,13,Clinch ,65,Clinch ,13065,f13065,0.0,1
GA Cobb,GA,,67,Kit Carson ,Cobb ,13067,f13067,0.0,1
GA Coffee,GA,13,69,Coffee ,Coffee ,13069,f13069,0.0,0
GA Colquitt,GA,13,71,Colquitt ,Colquitt ,13071,,0.0,1
GA Columbia,GA,13,73,Columbia,Columbia ,13073,f13073,0.0,1
GA Cook,GA,13,75,Cook ,Cook ,8107,f13075,0.0,1
GA Coweta,GA,13,77,Coweta ,Coweta ,13077,f13077,0.0,0
GA Crawford,GA,13,97,Crawofrd ,Crawford ,13079,f13079,0.0,1
GA Crisp,GA,13,81,Crisp ,Crisp ,13081,f13081,0.0,0
GA Daed,GA,31,83,Dade ,Dade ,13083,f13083,0.0,1
GA Dawson,GA,1,85,Dawson ,Dawson ,13085,f13085,0.111482720178372,1
GA Decatur,GA,13,87,Decatru ,Decatur ,13087,f13087,,1
GA DeKalb,GA,13,89,DeKalb ,DeKalb ,13089,f13089,0.501672240802676,1
GA Dodge,GA,13,91,Dodge ,Dodge ,8039,f13091,0.0,1
GA Dooly,GA,13,93,Dooly ,Dooly ,13093,f13093,0.0,0
GA Dougherty,,13,95,Dougherty ,Dougherty ,13095,f13095,0.0,1
GA Douglas,13,GA,97,Douglas ,Douglas ,13097,f02100,0.0,1
GA Early,,13,99,Early ,Early ,13099,f13099,0.0,1
GA Echols,GA,101,13,Echols ,Echols ,13101,f13101,0.0,1
GA Effingham,GA,13,103,Effingham ,Effingham ,13103,f13103,0.0,0
GA Elbert,GA,13,105,Elbert ,Elber t,13105,f13105,0.0,1
GA Emanuel,AG,13,107,Emanuel ,Emanuel ,13107,f06061,0.0,1
GA Evans,GA,13,109,Evans ,Evans ,13109,f06089,0.0,1
GA Fannin,GA,13,111,Fannin ,Fannin ,13111,f13111,0.0,0
GA Fayette,GA,13,113,Fayette ,Fayette ,13113,f13113,,1
GAFloyd,GA,13,115,Floyd ,Floyd ,13115,f13115,0.0,1
GA Forsyth,GA,13,117,Forsyth ,Forsyth ,13117,f13117,0.0,0
GA Franklin,GA,9,119,Franklin ,Franklin ,13119,f13119,0.0,1
GA Fulton,GA,13,121,Fulton ,Fulton ,13121,f13121,0.0,1
GA Gilmer,GA,13,123,Gilmer ,Gilmer ,13123,f13123,0.0,0
GA Glascock,GA,13,125,Glascock ,Covington ,13125,f13125,0.0,1
GA Glynn,GA,13,127,Glynn ,Glynn ,13127,f13127,0.0,0
GA Gordon,GA,13,Gordon ,129,Gordon ,13129,f13129,0.0,1
GA Grady,GA,13,131,Grady ,Grady ,13131,f13131,0.0,0
GA Greene,GA,13,133,Greene ,Greene ,13133,f06029,0.0,1
GA Gwinnett,GA,13,135,Gwinnett ,Gwinnett ,13135,f13135,0.0966183574879227,1
GA Habersham,GA,13,137,Habersham ,Habersham ,13137,0.0,f13137,1
GA Hall,GA,13,139,HaUl ,Hall ,13139,f13139,0.271739130434783,1
GA Hancock,GA,13,141,Hancock ,Hancck ,13141,f13141,0.0,1
AZ Coconino,GA,13,143,Haralson ,Haralson ,13143,f13143,0.0,1
AR Grant,GA,13,145,Harris ,Harris ,13145,f13145,0.0,1
GA Hart,GA,13,147,Hart ,Hart ,13147,f13147,0.0,0
GA Heard,GA,13,175,Covington ,,13149,f13149,0.0,1
GA Chattahoochee,GA,13,151,Henry ,Henry ,13151,f13151,.0,1
GA Houston,GA,13,153,Houston ,,13153,f13153,0.0,1
GA Irwin,GA,13,155,Irwin ,Irwin ,13155,f13155,0.0,0
GA Jackson,GA,13,157,Jackson ,Jackson ,13157,f13157,0.0,0
GA Jasper,GA,13,59,Jasper ,Jasper ,13159,f13159,0.0,1
GA Jeff Davis,GA,13,161,Jeff Davis ,Jeff Davis ,13161,f13161,0.0,0
GA Jefferson,CT,13,163,Jefferson ,Jefferson ,13163,f13163,0.0,1
GA Jenkins,CT,13,165,Jenkins ,Jenkins ,13165,f13165,0.0,1
GA Johnsn,GA,13,167,Johnson ,Johnson ,13167,f13167,0.0,1
GA Jones,,13,169,Jones ,Jones ,13169,f13169,0.0,1
GA Lamar,GA,13,,Lamar ,Lamar ,13171,f13171,0.0,1
GA Lanier,GA,13,R73,Lanier ,Lanier ,13173,0.0,f13173,1
GA Laurens,GA,13,175,Laurens ,Laurens ,13175,f13175,0.0,0
GA Lee,GA,13,177,Lee ,Lee ,,f13177,0.0,1
GA Liberty,GA,13,179,Liberty ,Liberty ,13719,,0.0,1
GA Lincoln,GA,13,,Lincoln ,Lincoln ,13811,f13181,0.0,1
GA Long,GA,13,183,Long ,Long ,13183,f13183,0.0,0
GA Lowndes,GA,13,185,Lowndes ,Lowndes ,13185,f13185,0.0,0
GA Lumpkin,GA,13,187,Lumpkin ,Lumpkin ,13187,f13187,0.0,0
GA Macon,GA,13,193,Macon ,Macon ,13193,f13193,0.0,0
,GA,9,195,Madison ,Madison ,13195,f13195,0.0,1
GA Marion,GA,13,197,,Maion ,13197,f13197,0.0,1
GA McDuffie,GA,13,189,McDuffie ,McDuffie ,13189,f13189,0.0,0
GA McIntosh,13,GA,McIntosh ,191,McIntosh ,13191,f13191,0.0,1
GA Meriwether,GA,13,199,Meriwether ,Meriwether ,13199,f13199,0.0,0
GA Miller,GA,1r,Miller ,201,Miller ,13201,f13201,0.0,1
GA Mitchell,GA,13,205,Mitchell ,Mitchell ,13205,f12305,0.0,1
GA Monroe,GA,13,207,Monroe ,Monroe ,13207,f13207,0.0,0
GA Montgomery,GA,,209,Montgomery ,Montgomery ,13v09,f13209,0.0,1
GA Morgan,GA,13,211,Morgan ,Morgan ,13211,f13211,0.0,0
GA Murray,AK,13,213,Murray ,Murray ,,fq3213,0.0,1
GA Muscogee,GA,13,,Muscogee ,Muscogee ,,f13215,0.0,1
GA Newton,GA,13,Newton ,217,Newton ,13217,f13217,0.0,1
GA Ocone,GA,13,219,Oconee ,Oconee ,13219,f13219,0.0,1
GA Oglethorpe,GA,13,141,Oglethorpe ,Oglethorpe ,13221,f13221,0.135869565217391,1
