indexvalue,id,beername,stylevalue,ounces,abv,ibu,breweryid,breweryname,city,statevalue,Label
329,1569,Mad Manatee IPA,American IPA,12.0,0.065,20.0,378,Bold City Brewery,Jacksonville,FL,0
330,1568,Killer Whale Cream Ale,Cream Ale,12.0,0.055,20.0,378,Bold City Brewery,Jacksonville,FL,0
331,1188,Dukes Cold Nose Brown Ale,American Brown Ale,12.0,0.06,20.0,378,Bold City Brewery,Jacksonville,FL,0
332,1891,Longhop IPA,American IPA,16.0,0.042,30.0,281,Bolero Snort Brewery,Ridgefield Park,NJ,0
333,1890,Lucky Buck,Irish Dry Stout,16.0,0.04,34.0,281,Bolero Snort Brewery,Ridgefield Park,NJ,0
334,577,Bomb Lager (New Recipe),Munich Helles Lager,12.0,0.051,20.0,525,Bomb Beer Company,New York,NY,0
335,513,Bomb Lager (Old Recipe),Munich Helles Lager,12.0,0.045,27.0,525,Bomb Beer Company,New York,NY,0
336,2422,Firestarter India Pale Ale,American IPA,12.0,0.066,72.0,107,Bonfire Brewing Company,Eagle,CO,0
337,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,16.0,0.075,22.0,107,Bonfire Brewing Company,Eagle,CO,0
338,1614,Wood Splitter Pilsner,Czech Pilsener,16.0,0.048,30.0,107,Bonfire Brewing Company,Eagle,CO,0
339,1613,Gyptoberfest,Märzen / Oktoberfest,12.0,0.056,26.0,107,Bonfire Brewing Company,Eagle,CO,0
340,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),16.0,0.07,94.0,107,,Eagle,CO,1
341,1548,Slow & Steady Golden Ale,American Blonde Ale,12.0,0.047,20.0,107,Bonfire Brewing Company,Eagle,CO,0
342,1517,Pink-I Raspberry IPA,American IPA,16.0,0.068,20.0,107,Bonfire Brewing Company,Eagle,CO,0
343,1500,Moes Original Bar B Que Bama Brew Golden Ale,American Blonde Ale,12.0,0.047,20.0,107,Bonfire Brewing Company,Eagle,CO,0
344,1421,Live Local Golden Ale,American Blonde Ale,12.0,0.047,20.0,107,Bonfire Brewing Company,Eagle,CO,0
345,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12.0,0.048,38.0,107,Bonfire Brewing Company,Eagle,CO,0
346,1184,Dirtbag Dunkel,Munich Dunkel Lager,16.0,0.049,20.0,107,Bonfire Brewing Company,Eagle,CO,0
347,1183,Kindler Pale Ale,Milk / Sweet Stout,12.0,0.053,45.0,107,Bonfire Brewing Company,Eagle,CO,1
348,1023,Mistress Winter Wheat,Winter Warmer,12.0,0.064,20.0,107,Bonfire Brewing Company,Eagle,CO,0
349,998,Tent Pole Vanilla Porter,American Porter,16.0,0.061,20.0,107,Bonfire Brewing Company,Eagle,CO,0
350,997,Awry Rye Pale Ale,American Pale Ale (APA),12.0,0.058,20.0,107,Bonfire Brewing Company,Eagle,CO,0
351,996,Demshitz Brown Ale,American Brown Ale,12.0,0.058,20.0,107,Bonfire Brewing Company,Eagle,CO,0
352,931,Wood Splitter Pilsner (2012),,12.0,0.048,20.0,107,Bonfire Brewing Company,Eagle,CO,1
353,798,Brush Creek Blonde,American Blonde Ale,16.0,0.048,20.0,107,Bonfire Brewing Company,Eagle,CO,0
354,633,Firestarter India Pale Ale,American IPA,16.0,0.066,72.0,107,Bonfire Brewing Company,Eagle,CO,0
355,2062,Noche Dulce,American Porter,16.0,0.071,16.0,231,Borderlands Brewing Company,Tucson,AZ,0
356,1830,Porch Rocker,Radler,12.0,0.045,8.0,300,Boston Beer Company,Boston,MA,0
357,1629,Rebel IPA,American IPA,16.0,0.065,45.0,300,Boston Beer Company,Boston,MA,1
358,1601,Cold Snap,Witbier,12.0,0.055,20.0,300,Boston Beer Company,Boston,MA,0
359,1427,Samuel Adams Winter Lager,Bock,12.0,0.056,20.0,300,Boston Beer Company,Boston,MA,0
360,1349,Boston Lager,Vienna Lager,16.0,0.049,30.0,300,Boston Beer Company,Boston,MA,0
361,1310,Boston Lager,Vienna Lager,12.0,0.049,30.0,300,Boston Beer Company,Boston,MA,0
362,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,12.0,0.053,15.0,300,Boston Beer Company,Boston,MA,0
363,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,12.0,0.053,7.0,300,Boston Beer Company,Boston,MA,0
364,1143,Boston Lager,Vienna Lager,12.0,0.049,30.0,300,Boston Beer Company,Boston,MA,0
365,1395,Hazed & Infused,American Pale Ale (APA),12.0,0.049,35.0,417,Boulder Beer Company,Boulder,CO,0
366,808,Hoopla Pale Ale,American Pale Ale (APA),12.0,0.057,35.0,417,Boulder Beer Company,Boulder,CO,0
367,81,Hazed & Infused (2010),American Pale Ale (APA),12.0,0.049,35.0,417,Boulder Beer Company,Boulder,CO,0
368,2596,Heavy Lifting,American IPA,12.0,0.062,80.0,31,Boulevard Brewing Company,Kansas City,MO,0
369,2300,1492,American Pale Ale (APA),12.0,0.065,20.0,167,Boxcar Brewing Company,West Chester,PA,0
370,2299,Mango Ginger,American IPA,12.0,0.058,20.0,167,Boxcar Brewing Company,West Chester,PA,0
371,2298,Passenger,English Dark Mild Ale,12.0,0.047,20.0,167,Boxcar Brewing Company,West Chester,PA,0
163,2107,Plum St. Porter,American Porter,12.0,0.06,52.0,219,Bozeman Brewing Company,Bozeman,MT,1
373,1573,Plum St. Porter,American Porter,12.0,0.057,52.0,219,Bozeman Brewing Company,Bozeman,MT,0
374,1289,Bozone HopZone IPA,American IPA,12.0,0.07,80.0,219,Bozeman Brewing Company,Bozeman,MT,0
375,1288,Bozone Hefe Weizen,Hefeweizen,12.0,0.06,25.0,219,Bozeman Brewing Company,Bozeman,MT,0
376,470,Bozone Select Amber Ale,American Amber / Red Ale,12.0,0.055,20.0,219,Bozeman Brewing Company,Bozeman,MT,0
377,2167,Evil Owl,American Amber / Red Ale,12.0,0.052,40.0,207,Branchline Brewing Company,San Antonio,TX,0
378,2204,Post Time Kölsch,Kölsch,16.0,20.0,0.05,195,Breakside Brewery,Portland,OR,1
379,1522,Agave Wheat,American Pale Wheat Ale,12.0,0.042,9.0,391,Breckenridge Brewery,Denver,CO,0
380,397,SummerBright Ale,American Pale Wheat Ale,12.0,0.045,15.0,391,Breckenridge Brewery,Denver,CO,0
381,193,Lucky U IPA,American IPA,12.0,0.062,,391,Breckenridge Brewery,Denver,CO,1
382,83,Avalanche Ale,American Amber / Red Ale,12.0,0.054,19.0,391,Breckenridge Brewery,Denver,CO,0
383,1802,Youre My Boy  Blue,Fruit / Vegetable Beer,12.0,0.05,20.0,308,Brew Bus Brewing,Tampa,FL,0
384,1801,Last Stop IPA,American IPA,12.0,0.072,60.0,308,Brew Bus Brewing,Tampa,FL,0
385,1800,Rollin Dirty Red Ale,Irish Red Ale,12.0,0.05,21.0,308,Brew Bus Brewing,Tampa,FL,0
386,1799,Are Wheat There Yet?,American Pale Wheat Ale,12.0,0.055,28.0,308,Brew Bus Brewing,Tampa,FL,0
387,2619,Insert Hop Reference,American Pale Ale (APA),16.0,0.058,20.0,19,Brew Link Brewing,Plainfield,IN,0
388,2468,Manitou Amber,American Amber / Red Ale,16.0,0.053,20.0,85,Brewery Terra Firma,Traverse City,MI,0
389,2637,Belfort,Saison / Farmhouse Ale,16.0,0.067,20.0,10,Brewery Vivant,Grand Rapids,MI,0
390,2636,Star Runner,Belgian Pale Ale,16.0,0.06,20.0,154,Brewery Vivant,Grand Rapids,MI,1
429,2598,Tart Side of the Barrel,American Double / Imperial Stout,16.0,0.098,20.0,10,Brewery Vivant,Grand Rapids,MI,1
392,2597,Linnaeus Mango IPA,American IPA,16.0,0.06,20.0,01,Brewery Vivant,Grand Rapids,MI,1
393,2548,Beasts ABurnin,Rauchbier,16.0,0.07,20.0,10,Brewery Vivant,Grand Rapids,MI,0
394,2542,Verdun,Bière de Garde,16.0,0.077,20.0,10,Brewery Vivant,Grand Rapids,MI,0
395,2541,Barrel Aged Triomphe,Belgian IPA,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
396,2504,Cherry Doppelbock,Doppelbock,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
397,2500,Tropical Saison,Saison / Farmhouse Ale,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
398,2499,Beach Patrol,Witbier,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
399,2498,Nuit Serpent,Belgian IPA,16.0,0.05,20.0,10,Brewery Vivant,Grand Rapids,MI,0
400,2481,Paris,Saison / Farmhouse Ale,16.0,0.09,20.0,10,Brewery Vivant,Grand Rapids,MI,0
401,2476,The Grand Army,Belgian IPA,16.0,0.055,20.0,10,Brewery Vivant,Grand Rapids,MI,0
402,2467,Acidulated Trip,Saison / Farmhouse Ale,16.0,0.059,20.0,10,Brewery Vivant,Grand Rapids,MI,0
403,2466,Root Stock,Rye Beer,16.0,0.066,20.0,10,Brewery Vivant,Grand Rapids,MI,0
404,2465,Mind Games,Dunkelweizen,16.0,0.041,20.0,10,Brewery Vivant,Grand Rapids,MI,0
405,2433,Sous Chef,Belgian Strong Pale Ale,16.0,0.082,20.0,10,Brewery Vivant,Grand Rapids,MI,0
406,2418,Dubbelicious,Dubbel,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
407,2416,Psychopomp,Belgian Dark Ale,16.0,0.062,20.0,10,Brewery Vivant,Grand Rapids,MI,0
408,2382,Fat Paczki,Belgian Dark Ale,16.0,0.05,20.0,10,Brewery Vivant,Grand Rapids,MI,0
409,2381,Earth-Like Planets,Belgian Pale Ale,16.0,0.05,20.0,10,Brewery Vivant,Grand Rapids,MI,0
410,2290,Ski Patrol,Witbier,16.0,0.061,20.0,10,Brewery Vivant,Grand Rapids,MI,0
411,2241,Viking Ice Hole,Oatmeal Stout,16.0,0.063,20.0,10,Brewery Vivant,Grand Rapids,MI,0
412,2240,Rye Porter,American Porter,16.0,0.056,20.0,10,Brewery Vivant,Grand Rapids,MI,0
413,2137,Wizard Burial Ground,Quadrupel (Quad),16.0,0.099,20.0,10,Brewery Vivant,Grand Rapids,MI,0
414,2101,Smoky Wheat,Rauchbier,16.0,0.051,20.0,10,Brewery Vivant,Grand Rapids,MI,0
415,2092,BRIPA,Belgian IPA,16.0,0.062,20.0,10,Brewery Vivant,Grand Rapids,MI,0
416,2091,Mela,Belgian Dark Ale,16.0,0.062,20.0,10,Brewery Vivant,Grand Rapids,MI,0
417,2086,W.I.P.A Snappa,Belgian IPA,16.0,0.053,20.0,10,Brewery Vivant,Grand Rapids,MI,0
418,2023,Pepper in the Rye,Rye Beer,16.0,0.063,20.0,10,Brewery Vivant,Grand Rapids,MI,0
419,2006,Moe Lasses,American Stout,16.0,0.064,20.0,10,Brewery Vivant,Grand Rapids,MI,0
420,1997,Pumpkin Tart,Fruit / Vegetable Beer,16.0,0.07,20.0,10,Brewery Vivant,Grand Rapids,MI,0
421,1977,Undertaker,Belgian Dark Ale,16.0,0.067,20.0,10,Brewery Vivant,Grand Rapids,MI,0
422,1976,Undertaker (2014),Belgian Dark Ale,16.0,0.067,20.0,10,Brewery Vivant,Grand Rapids,MI,0
423,1974,Coq DOr,Belgian Pale Ale,16.0,0.05,20.0,10,Brewery Vivant,Grand Rapids,MI,0
424,1973,North French,Bière de Garde,16.0,0.06,20.0,10,Brewery Vivant,Grand Rapids,MI,0
425,1959,Agent a Deux,Belgian Dark Ale,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
426,1958,Belgian Wit,Witbier,16.0,0.045,20.0,10,Brewery Vivant,Grand Rapids,MI,0
427,1949,Pothole Stout,American Stout,16.0,0.063,20.0,10,Brewery Vivant,Grand Rapids,MI,0
428,1947,Tree Bucket,Belgian IPA,16.0,0.093,20.0,10,Brewery Vivant,Grand Rapids,MI,0
429,1785,Le Flaneur Ale,American Wild Ale,16.0,0.073,20.0,10,Brewery Vivant,Grand Rapids,MI,0
430,1651,Maize & Blueberry,Fruit / Vegetable Beer,16.0,0.056,20.0,10,Brewery Vivant,Grand Rapids,MI,0
431,1443,Trebuchet Double IPA,American Double / Imperial IPA,16.0,0.093,20.0,10,Brewery Vivant,Grand Rapids,MI,0
432,1352,Contemplation,Bière de Garde,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
433,1267,Black Rabbit,American Black Ale,16.0,0.05,20.0,10,Brewery Vivant,Grand Rapids,MI,0
434,,Zaison,Saison / Farmhouse Ale,16.0,0.09,20.0,Brewery Vivant,10,Grand Rapids,MI,1
435,1178,Vivant Tripel,Tripel,16.0,0.082,20.0,10,Brewery Vivant,Grand Rapids,MI,0
436,1136,Tart Side of the Moon,Belgian Dark Ale,16.0,0.098,20.0,10,Brewery Vivant,Grand Rapids,MI,0
24,1044,Big Red Coq,American Amber / Red Ale,16.0,0.06,20.0,10,Brewery Vivant,Grand Rapids,MI,1
438,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16.0,0.099,20.0,10,Brewery Vivant,Grand Rapids,MI,0
439,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16.0,0.095,20.0,10,Brewery Vivant,Grand Rapids,MI,0
440,909,Escoffier Bretta Ale,American Wild Ale,16.0,0.092,20.0,10,Brewery Vivant,Grand Rapids,MI,0
441,873,Contemplation (2012),Bière de Garde,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
442,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16.0,0.099,20.0,10,Brewery Vivant,Grand Rapids,MI,0
443,677,Big Red Coq (2012),American Amber / Red Ale,16.0,0.062,20.0,10,Brewery Vivant,Grand Rapids,MI,0
444,671,Zaison (2012),Saison / Farmhouse Ale,16.0,0.09,20.0,10,Brewery Vivant,Grand Rapids,MI,0
445,670,Vivant Tripel (2012),Tripel,16.0,0.092,20.0,10,Brewery Vivant,Grand Rapids,MI,0
446,669,Trebuchet Double IPA (2012),Belgian IPA,16.0,0.097,20.0,10,Brewery Vivant,Grand Rapids,MI,0
447,627,Kludde,Belgian Strong Dark Ale,16.0,0.085,20.0,10,Brewery Vivant,Grand Rapids,MI,0
448,387,Farm Hand,Saison / Farmhouse Ale,16.0,0.055,20.0,10,Brewery Vivant,Grand Rapids,MI,0
449,385,Solitude,Belgian Pale Ale,16.0,0.06,20.0,10,Brewery Vivant,Grand Rapids,MI,0
450,384,Triomphe,Belgian IPA,16.0,0.065,20.0,10,Brewery Vivant,Grand Rapids,MI,0
451,1096,Tampa Pale Ale,American Pale Ale (APA),12.0,0.05,20.0,467,Brindle Dog Brewing Company,Tampa Bay,FL,0
452,1095,Orange Grove Wheat Ale,American Pale Wheat Ale,12.0,0.05,20.0,467,Brindle Dog Brewing Company,Tampa Bay,FL,0
453,2456,Broad Brook Ale,American Amber / Red Ale,16.0,0.061,20.0,89,Broad Brook Brewing LLC,East Windsor,CT,0
454,921,Northern Lights Amber Ale,American Amber / Red Ale,12.0,0.05,15.0,493,Broken Tooth Brewing Company,Anchorage,AK,0
455,920,Polar Pale Ale,American Pale Ale (APA),12.0,0.052,17.0,493,Broken Tooth Brewing Company,Anchorage,AK,0
456,919,Chugach Session Ale,Cream Ale,12.0,0.048,20.0,493,Broken Tooth Brewing Company,Anchorage,AK,0
457,648,Fairweather IPA,American IPA,12.0,0.061,64.0,493,Broken Tooth Brewing Company,Anchorage,AK,0
458,1279,East India Pale Ale,English India Pale Ale (IPA),16.0,0.068,47.0,437,Brooklyn Brewery,Brooklyn,NY,0
459,756,Brooklyn Summer Ale,English Pale Mild Ale,12.0,0.045,20.0,437,Avery Brewing Company,Brooklyn,NY,1
460,566,East India Pale Ale,English India Pale Ale (IPA),12.0,0.068,47.0,437,Brooklyn Brewery,Brooklyn,NY,0
461,328,Brooklyn Summer Ale (2011),English Pale Mild Ale,12.0,0.045,20.0,437,Brooklyn Brewery,Brooklyn,NY,0
462,66,Brooklyn Lager (16 oz.),American Amber / Red Lager,16.0,0G052,20.0,437,Brooklyn Brewery,Brooklyn,NY,1
463,65,Brooklyn Lager (12 oz.),American Amber / Red Lager,12.0,0.052,20.0,437,Brooklyn Brewery,Brooklyn,NY,0
464,538,Tour de Nez Belgian IPA (Current),Belgian IPA,16.0,0.08,20.0,530,Buckbean Brewing Company,Reno,NV,0
465,504,Roler Bock (Current),Maibock / Helles Bock,16.0,0.05,20.0,530,Buckbean Brewing Company,Reno,NV,0
466,383,Black Adder IBA (Current),American Black Ale,16.0,0.073,85.0,530,Buckbean Brewing Company,Reno,NV,0
467,29,Very Noddy Lager (Current),Schwarzbier,16.0,0.099,20.0,530,Buckbean Brewing Company,Reno,NV,0
468,28,Tule Duck Red Ale (Current),American Amber / Red Ale,16.0,0.062,42.0,530,Buckbean Brewing Company,Reno,NV,0
469,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16.0,0.058,35.0,530,Buckbean Brewing Company,Reno,NV,0
470,26,Black Noddy Lager (Current),Schwarzbier,16.0,0.052,40.0,530,Buckbean Brewing Company,Reno,NV,0
471,1627,Cleveland Beer Week 2013,Munich Helles Lager,16.0,0.053,20.0,357,Buckeye Brewing,Cleveland,OH,0
472,2552,Painted Turtle,American Pale Ale (APA),12.0,0.045,20.0,56,BuckleDown Brewing,Lyons,IL,0
473,2125,1836,American Blonde Ale,12.0,0.06,40.0,214,Buffalo Bayou Brewing Company,Houston,,1
474,2124,Summers Wit,Witbier,12.0,0.06,20.0,214,Buffalo Bayou Brewing Company,Houston,TX,0
47,2123,More Cowbell,American Double / Imperial IPA,16.0,0.09,118.0,214,Buffalo Bayou Brewing Company,Houston,TX,1
476,2608,Wrath of Pele,American Brown Ale,16.0,0.065,20.0,24,Burn Em Brewing,Michigan City,IN,0
477,2607,Black Beerd,American Black Ale,16.0,0.068,20.0,24,Burn Em Brewing,Michigan City,IN,0
478,2606,Mr. Tea,Fruit / Vegetable Beer,24.0,0.078,20.0,24,Burn Em Brewing,Michigan City,IN,0
479,2478,Pale Alement,American Pale Ale (APA),12.0,0.055,40.0,24,Burn Em Brewing,Michigan City,IN,0
480,2471,Hopkick Dropkick,American Double / Imperial IPA,12.0,115.0,0.099,24,Burn Em Brewing,Michigan City,IN,1
481,2470,Kreamed Corn,Cream Ale,12.0,20.0,0.06,,Burn Em Brewing,Michigan City,IN,1
482,2464,Coconoats,American Pale Wheat Ale,16.0,0.065,20.0,24,Burn Em Brewing,Michigan City,IN,0
483,2160,Joey Wheat,American Pale Wheat Ale,16.0,0.068,16.0,24,Burn Em Brewing,Michigan City,IN,0
484,2158,3:33 Black IPA,American IPA,16.0,0.072,86.0,24,Burn Em Brewing,Michigan City,IN,0
485,2072,MCA,American IPA,16.0,0.068,20.0,24,Burn Em Brewing,Michigan City,IN,0
486,2054,Pale Alement,American Pale Ale (APA),16.0,0.055,40.0,24,Burn Em Brewing,Michigan City,IN,0
487,2196,Couch Select Lager,American Pale Lager,12.0,0.05,14.0,197,Burnside Brewing Co.,Portland,OR,0
488,668,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),16.0,0.056,36.0,517,Butchers Brewing,Carlsbad,CA,1
489,52,Heinnieweisse Weissebier,Hefeweizen,12.0,0.049,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
490,51,Snapperhead IPA,American IPA,12.0,0.068,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
491,50,Moo Thunder Stout,Milk / Sweet Stout,12.0,0.049,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
492,49,Porkslap Pale Ale,American Pale Ale (APA),12.0,0.043,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
493,2657,Blackbeard,American Double / Imperial Stout,12.0,0.093,20.0,5,COAST Brewing Company,Charleston,SC,0
494,2656,Rye Knot,American Brown Ale,12.0,0.062,20.0,5,COAST Brewing Company,Charleston,SC,0
495,2655,Dead Arm,American Pale Ale (APA),12.0,0.06,20.0,5,COAST Brewing Company,Charleston,SC,0
496,2654,32°/50° Kölsch,Kölsch,16.0,0.048,20.0,5,COAST Brewing Company,Charleston,SC,0
497,2653,HopArt,American IPA,16.0,0.077,70.0,5,COAST Brewing Company,Charleston,SC,1
498,2652,Boy King,American Double / Imperial IPA,16.0,0.097,20.0,5,COAST Brewing Company,Charleston,SC,0
499,2252,Gran Sport,American Porter,16.0,0.052,20.0,812,COOP Ale Works,Oklahoma City,OK,1
500,2214,Horny Toad Cerveza,American Blonde Ale,16.0,0.053,25.0,182,COOP Ale Works,Oklahoma City,OK,0
